ID,SPECIALIZATION,NAME,LINK
1,Psychology,Journal of Psychology Research,http://psyresearches.dp.ua/index.php/journal/issue/archive
2,Psychology,Personality and Environmental Issues,https://intranet.vspu.edu.ua/pei/index.php/journal/issue/archive
3,Journalism,Communications and Communicative Technologies,https://cct.dp.ua/index.php/journal/issue/archive
4,Journalism,Ukrainian Information Space,http://ukrinfospace.knukim.edu.ua/issue/archive
5,Management,Acta Academiae Beregsasiensis. Economics,https://aab-economics.kmf.uz.ua/aabe/issue/archive
6,Management,Development Service Industry Management,https://dsim.khmnu.edu.ua/index.php/dsim/issue/archive
7,Law,Advanced Space Law,http://asljournal.org/archives/
8,Law,Kyiv-Mohyla Law and Politics Journal,http://kmlpj.ukma.edu.ua/issue/archive
9,Computer science,Computational Problems of Electrical Engineering,https://science.lpnu.ua/uk/jcpee/vsi-vypusky
10,Computer science,Computer Science and Applied Mathematics,https://nfv.ukrintei.ua/view/60f064788da8730aaf164e63